Concept,Attributes,Group
Aggregate Gross Rent (Dollars) by Units in Structure,"B25066_001EA,  B25066_001M,  B25066_001MA",B25066
Aggregate Gross Rent (Dollars) by Meals Included in Rent,"B25067_001EA,  B25067_001M,  B25067_001MA",B25067
Bedrooms by Gross Rent,"B25068_001EA,  B25068_001M,  B25068_001MA",B25068
Inclusion of Utilities in Rent,"B25069_001EA,  B25069_001M,  B25069_001MA",B25069
Gross Rent as a Percentage of Household Income in the Past 12 Months,"B25070_001EA,  B25070_001M,  B25070_001MA",B25070
Median Gross Rent as a Percentage of Household Income in the Past 12 Months (Dollars),"B25071_001EA,  B25071_001M,  B25071_001MA",B25071
Age of Householder by Gross Rent as a Percentage of Household Income in the Past 12 Months,"B25072_001EA,  B25072_001M,  B25072_001MA",B25072
Household Income by Gross Rent as a Percentage of Household Income in the Past 12 Months,"B25074_001EA,  B25074_001M,  B25074_001MA",B25074
Value,"B25075_001EA,  B25075_001M,  B25075_001MA",B25075
Lower Value Quartile (Dollars),"B25076_001EA,  B25076_001M,  B25076_001MA",B25076
Median Value (Dollars),"B25077_001EA,  B25077_001M,  B25077_001MA",B25077
"Median Value (Dollars, White Alone Householder)","B25077A_001EA,  B25077A_001M,  B25077A_001MA",B25077A
"Median Value (Dollars, Black or African American Alone Householder)","B25077B_001EA,  B25077B_001M,  B25077B_001MA",B25077B
"Median Value (Dollars, American Indian and Alaska Native Alone Householder)","B25077C_001EA,  B25077C_001M,  B25077C_001MA",B25077C
"Median Value (Dollars, Asian Alone Householder)","B25077D_001EA,  B25077D_001M,  B25077D_001MA",B25077D
"Median Value (Dollars, Native Hawaiian and Other Pacific Islander Alone Householder)","B25077E_001EA,  B25077E_001M,  B25077E_001MA",B25077E
"Median Value (Dollars, Some Other Race Alone Householder)","B25077F_001EA,  B25077F_001M,  B25077F_001MA",B25077F
"Median Value (Dollars, Two or More Races Householder)","B25077G_001EA,  B25077G_001M,  B25077G_001MA",B25077G
"Median Value (Dollars, White Alone, Not Hispanic or Latino Householder)","B25077H_001EA,  B25077H_001M,  B25077H_001MA",B25077H
"Median Value (Dollars, Hispanic or Latino Householder)","B25077I_001EA,  B25077I_001M,  B25077I_001MA",B25077I
Upper Value Quartile (Dollars),"B25078_001EA,  B25078_001M,  B25078_001MA",B25078
Aggregate Value (Dollars) by Age of Householder,"B25079_001EA,  B25079_001M,  B25079_001MA",B25079
Aggregate Value (Dollars) by Units in Structure,"B25080_001EA,  B25080_001M,  B25080_001MA",B25080
Mortgage Status,"B25081_001EA,  B25081_001M,  B25081_001MA",B25081
Aggregate Value (Dollars) by Mortgage Status,"B25082_001EA,  B25082_001M,  B25082_001MA",B25082
Median Value (Dollars) for Mobile Homes,"B25083_001EA,  B25083_001M,  B25083_001MA",B25083
Price Asked,"B25085_001EA,  B25085_001M,  B25085_001MA",B25085
Aggregate Price Asked (Dollars),"B25086_001EA,  B25086_001M,  B25086_001MA",B25086
Mortgage Status and Selected Monthly Owner Costs,"B25087_001EA,  B25087_001M,  B25087_001MA",B25087
Median Selected Monthly Owner Costs (Dollars) by Mortgage Status,"B25088_001EA,  B25088_001M,  B25088_001MA",B25088
Aggregate Selected Monthly Owner Costs (Dollars) by Mortgage Status,"B25089_001EA,  B25089_001M,  B25089_001MA",B25089
Mortgage Status by Aggregate Real Estate Taxes Paid (Dollars),"B25090_001EA,  B25090_001M,  B25090_001MA",B25090
Mortgage Status by Selected Monthly Owner Costs as a Percentage of Household Income in the Past 12 Months,"B25091_001EA,  B25091_001M,  B25091_001MA",B25091
Median Selected Monthly Owner Costs as a Percentage of Household Income in the Past 12 Months,"B25092_001EA,  B25092_001M,  B25092_001MA",B25092
Age of Householder by Selected Monthly Owner Costs as a Percentage of Household Income in the Past 12 Months,"B25093_001EA,  B25093_001M,  B25093_001MA",B25093
Selected Monthly Owner Costs,"B25094_001EA,  B25094_001M,  B25094_001MA",B25094
Household Income by Selected Monthly Owner Costs as a Percentage of Household Income in the Past 12 Months,"B25095_001EA,  B25095_001M,  B25095_001MA",B25095
Mortgage Status by Value,"B25096_001EA,  B25096_001M,  B25096_001MA",B25096
Mortgage Status by Median Value (Dollars),"B25097_001EA,  B25097_001M,  B25097_001MA",B25097
Mortgage Status by Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars),"B25098_001EA,  B25098_001M,  B25098_001MA",B25098
Mortgage Status by Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars),"B25099_001EA,  B25099_001M,  B25099_001MA",B25099
Mortgage Status by Ratio of Value to Household Income in the Past 12 Months,"B25100_001EA,  B25100_001M,  B25100_001MA",B25100
Mortgage Status by Monthly Housing Costs as a Percentage of Household Income in the Past 12 Months,"B25101_001EA,  B25101_001M,  B25101_001MA",B25101
Mortgage Status by Real Estate Taxes Paid,"B25102_001EA,  B25102_001M,  B25102_001MA",B25102
Mortgage Status by Median Real Estate Taxes Paid (Dollars),"B25103_001EA,  B25103_001M,  B25103_001MA",B25103
Monthly Housing Costs,"B25104_001EA,  B25104_001M,  B25104_001MA",B25104
Median Monthly Housing Costs (Dollars),"B25105_001EA,  B25105_001M,  B25105_001MA",B25105
Tenure by Housing Costs as a Percentage of Household Income in the Past 12 Months,"B25106_001EA,  B25106_001M,  B25106_001MA",B25106
Median Value by Year Structure Built,"B25107_001EA,  B25107_001M,  B25107_001MA",B25107
Aggregate Value (Dollars) by Year Structure Built,"B25108_001EA,  B25108_001M,  B25108_001MA",B25108
Median Value by Year Householder Moved Into Unit,"B25109_001EA,  B25109_001M,  B25109_001MA",B25109
Aggregate Value (Dollars) by Year Householder Moved Into Unit,"B25110_001EA,  B25110_001M,  B25110_001MA",B25110
Median Gross Rent by Year Structure Built,"B25111_001EA,  B25111_001M,  B25111_001MA",B25111
Aggregate Gross Rent (Dollars) by Year Structure Built,"B25112_001EA,  B25112_001M,  B25112_001MA",B25112
Median Gross Rent by Year Householder Moved Into Unit,"B25113_001EA,  B25113_001M,  B25113_001MA",B25113
Aggregate Gross Rent (Dollars) by Year Householder Moved Into Unit,"B25114_001EA,  B25114_001M,  B25114_001MA",B25114
Tenure by Household Type and Presence and Age of Own Children,"B25115_001EA,  B25115_001M,  B25115_001MA",B25115
Tenure by Household Size by Age of Householder,"B25116_001EA,  B25116_001M,  B25116_001MA",B25116
Tenure by House Heating Fuel,"B25117_001EA,  B25117_001M,  B25117_001MA",B25117
Tenure by Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars),"B25118_001EA,  B25118_001M,  B25118_001MA",B25118
Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Tenure,"B25119_001EA,  B25119_001M,  B25119_001MA",B25119
Aggregate Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Tenure and Mortgage Status,"B25120_001EA,  B25120_001M,  B25120_001MA",B25120
Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Value,"B25121_001EA,  B25121_001M,  B25121_001MA",B25121
Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Gross Rent,"B25122_001EA,  B25122_001M,  B25122_001MA",B25122
Tenure by Selected Physical and Financial Conditions,"B25123_001EA,  B25123_001M,  B25123_001MA",B25123
Tenure by Household Size by Units in Structure,"B25124_001EA,  B25124_001M,  B25124_001MA",B25124
Tenure by Age of Householder by Units in Structure,"B25125_001EA,  B25125_001M,  B25125_001MA",B25125
Tenure by Age of Householder by Year Structure Built,"B25126_001EA,  B25126_001M,  B25126_001MA",B25126
Tenure by Year Structure Built by Units in Structure,"B25127_001EA,  B25127_001M,  B25127_001MA",B25127
Tenure by Age of Householder by Year Householder Moved Into Unit,"B25128_001EA,  B25128_001M,  B25128_001MA",B25128
Tenure by Year Householder Moved Into Unit by Units in Structure,"B25129_001EA,  B25129_001M,  B25129_001MA",B25129
Monthly Electricity Costs,"B25132_001EA,  B25132_001M,  B25132_001MA",B25132
Monthly Gas Costs,"B25133_001EA,  B25133_001M,  B25133_001MA",B25133
Annual Water and Sewer Costs,"B25134_001EA,  B25134_001M,  B25134_001MA",B25134
Annual Other Fuel Costs,"B25135_001EA,  B25135_001M,  B25135_001MA",B25135
Structure Type by Occupancy Status,"B25136_001EA,  B25136_001M,  B25136_001MA",B25136
Bedrooms by Occupancy Status,"B25137_001EA,  B25137_001M,  B25137_001MA",B25137
Lower Gross Rent Quartile (Dollars),"B25138_001EA,  B25138_001M,  B25138_001MA",B25138
Upper Gross Rent Quartile (Dollars),"B25139_001EA,  B25139_001M,  B25139_001MA",B25139
Housing Costs as a Percentage of Household Income in the Past 12 Months,"B25140_001EA,  B25140_001M,  B25140_001MA",B25140
Group Quarters Population,"B26001_001EA,  B26001_001M,  B26001_001MA",B26001
Group Quarters Type (3 Types) by Sex by Age,"B26101_001EA,  B26101_001M,  B26101_001MA",B26101
Median Age by Group Quarters Type (3 Types),"B26102_001EA,  B26102_001M,  B26102_001MA",B26102
Group Quarters Type (3 Types),"B26103_001EA,  B26103_001M,  B26103_001MA",B26103
Group Quarters Type (3 Types) (White Alone),"B26103A_001EA,  B26103A_001M,  B26103A_001MA",B26103A
Group Quarters Type (3 Types) (Black or African American Alone),"B26103B_001EA,  B26103B_001M,  B26103B_001MA",B26103B
Group Quarters Type (3 Types) (American Indian and Alaska Native Alone),"B26103C_001EA,  B26103C_001M,  B26103C_001MA",B26103C
Group Quarters Type (3 Types) (Asian Alone),"B26103D_001EA,  B26103D_001M,  B26103D_001MA",B26103D
Group Quarters Type (3 Types) (Native Hawaiian and Other Pacific Islander Alone),"B26103E_001EA,  B26103E_001M,  B26103E_001MA",B26103E
Group Quarters Type (3 Types) (Some Other Race Alone),"B26103F_001EA,  B26103F_001M,  B26103F_001MA",B26103F
Group Quarters Type (3 Types) (Two or More Races),"B26103G_001EA,  B26103G_001M,  B26103G_001MA",B26103G
"Group Quarters Type (3 Types) (White Alone, Not Hispanic or Latino)","B26103H_001EA,  B26103H_001M,  B26103H_001MA",B26103H
Group Quarters Type (3 Types) (Hispanic or Latino),"B26103I_001EA,  B26103I_001M,  B26103I_001MA",B26103I
Group Quarters Type (3 Types) by Marital Status,"B26104_001EA,  B26104_001M,  B26104_001MA",B26104
Group Quarters Type (3 Types) by School Enrollment,"B26105_001EA,  B26105_001M,  B26105_001MA",B26105
Group Quarters Type (3 Types) by Educational Attainment,"B26106_001EA,  B26106_001M,  B26106_001MA",B26106
Group Quarters Type (3 Types) by Veteran Status,"B26107_001EA,  B26107_001M,  B26107_001MA",B26107
Group Quarters Type (3 Types) by Age by Disability Status,"B26108_001EA,  B26108_001M,  B26108_001MA",B26108
Group Quarters Type (3 Types) by Geographical Mobility in the Past Year for Current Residence in the United States,"B26109_001EA,  B26109_001M,  B26109_001MA",B26109
Group Quarters Type (3 Types) by Geographical Mobility in the Past Year for Current Residence in Puerto Rico,"B26109PR_001EA,  B26109PR_001M,  B26109PR_001MA",B26109PR
Group Quarters Type (3 Types) by Nativity and Citizenship Status by Sex,"B26110_001EA,  B26110_001M,  B26110_001MA",B26110
Group Quarters Type (3 Types) by Language Spoken at Home by Ability to Speak English,"B26113_001EA,  B26113_001M,  B26113_001MA",B26113
Group Quarters Type (3 Types) by Employment Status,"B26114_001EA,  B26114_001M,  B26114_001MA",B26114
Group Quarters Type (3 Types) by Occupation,"B26115_001EA,  B26115_001M,  B26115_001MA",B26115
Group Quarters Type (3 Types) by Sex With Earnings in the Past 12 Months,"B26117_001EA,  B26117_001M,  B26117_001MA",B26117
Aggregate Earnings in the Past 12 Months by Group Quarters Type (3 Types) by Sex,"B26118_001EA,  B26118_001M,  B26118_001MA",B26118
Median Earnings in the Past 12 Months by Group Quarters Type (3 Types) by Sex,"B26119_001EA,  B26119_001M,  B26119_001MA",B26119
Group Quarters Type (3 Types) by Receipt of Food Stamps/SNAP in the Past 12 Months,"B26120_001EA,  B26120_001M,  B26120_001MA",B26120
Group Quarters Type (5 Types) by Sex by Age,"B26201_001EA,  B26201_001M,  B26201_001MA",B26201
Median Age by Group Quarters Type (5 Types),"B26202_001EA,  B26202_001M,  B26202_001MA",B26202
Group Quarters Type (5 Types),"B26203_001EA,  B26203_001M,  B26203_001MA",B26203
Group Quarters Type (5 Types) (White Alone),"B26203A_001EA,  B26203A_001M,  B26203A_001MA",B26203A
Group Quarters Type (5 Types) (Black or African American Alone),"B26203B_001EA,  B26203B_001M,  B26203B_001MA",B26203B
Group Quarters Type (5 Types) (American Indian and Alaska Native Alone),"B26203C_001EA,  B26203C_001M,  B26203C_001MA",B26203C
Group Quarters Type (5 Types) (Asian Alone),"B26203D_001EA,  B26203D_001M,  B26203D_001MA",B26203D
Group Quarters Type (5 Types) (Native Hawaiian and Other Pacific Islander Alone),"B26203E_001EA,  B26203E_001M,  B26203E_001MA",B26203E
Group Quarters Type (5 Types) (Some Other Race Alone),"B26203F_001EA,  B26203F_001M,  B26203F_001MA",B26203F
Group Quarters Type (5 Types) (Two or More Races),"B26203G_001EA,  B26203G_001M,  B26203G_001MA",B26203G
"Group Quarters Type (5 Types) (White Alone, Not Hispanic or Latino)","B26203H_001EA,  B26203H_001M,  B26203H_001MA",B26203H
Group Quarters Type (5 Types) (Hispanic or Latino),"B26203I_001EA,  B26203I_001M,  B26203I_001MA",B26203I
Group Quarters Type (5 Types) by Marital Status,"B26204_001EA,  B26204_001M,  B26204_001MA",B26204
Group Quarters Type (5 Types) by School Enrollment,"B26205_001EA,  B26205_001M,  B26205_001MA",B26205
Group Quarters Type (5 Types) by Educational Attainment,"B26206_001EA,  B26206_001M,  B26206_001MA",B26206
Group Quarters Type (5 Types) by Veteran Status,"B26207_001EA,  B26207_001M,  B26207_001MA",B26207
Group Quarters Type (5 Types) by Age by Disability Status,"B26208_001EA,  B26208_001M,  B26208_001MA",B26208
Group Quarters Type (5 Types) by Geographical Mobility in the Past Year for Current Residence in the United States,"B26209_001EA,  B26209_001M,  B26209_001MA",B26209
Group Quarters Type (5 Types) by Nativity and Citizenship Status by Sex,"B26210_001EA,  B26210_001M,  B26210_001MA",B26210
Group Quarters Type (5 Types) by Year of Entry,"B26211_001EA,  B26211_001M,  B26211_001MA",B26211
Group Quarters Type (5 Types) by World Region of Birth,"B26212_001EA,  B26212_001M,  B26212_001MA",B26212
Group Quarters Type (5 Types) by Language Spoken at Home by Ability to Speak English,"B26213_001EA,  B26213_001M,  B26213_001MA",B26213
Group Quarters Type (5 Types) by Employment Status,"B26214_001EA,  B26214_001M,  B26214_001MA",B26214
Group Quarters Type (5 Types) by Occupation,"B26215_001EA,  B26215_001M,  B26215_001MA",B26215
Aggregate Income in the Past 12 Months by Group Quarters Type (5 Types),"B26216_001EA,  B26216_001M,  B26216_001MA",B26216
Group Quarters Type (5 Types) by Sex With Earnings in the Past 12 Months,"B26217_001EA,  B26217_001M,  B26217_001MA",B26217
Aggregate Earnings in the Past 12 Months by Group Quarters Type (5 Types) by Sex,"B26218_001EA,  B26218_001M,  B26218_001MA",B26218
Median Earnings in the Past 12 Months by Group Quarters Type (5 Types) by Sex,"B26219_001EA,  B26219_001M,  B26219_001MA",B26219
Group Quarters Type (5 Types) by Receipt of Food Stamps/SNAP in the Past 12 Months,"B26220_001EA,  B26220_001M,  B26220_001MA",B26220
Health Insurance Coverage Status by Sex by Age,"B27001_001EA,  B27001_001M,  B27001_001MA",B27001
Private Health Insurance Status by Sex by Age,"B27002_001EA,  B27002_001M,  B27002_001MA",B27002
Public Health Insurance Status by Sex by Age,"B27003_001EA,  B27003_001M,  B27003_001MA",B27003
Types of Health Insurance Coverage by Age,"B27010_001EA,  B27010_001M,  B27010_001MA",B27010
Health Insurance Coverage Status and Type by Employment Status,"B27011_001EA,  B27011_001M,  B27011_001MA",B27011
Health Insurance Coverage Status and Type by Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars),"B27015_001EA,  B27015_001M,  B27015_001MA",B27015
Health Insurance Coverage Status and Type by Age by Educational Attainment,"B27019_001EA,  B27019_001M,  B27019_001MA",B27019
Health Insurance Coverage Status and Type by Citizenship Status,"B27020_001EA,  B27020_001M,  B27020_001MA",B27020
Health Insurance Coverage Status by Sex by Enrollment Status for Young Adults Aged 19 to 25,"B27022_001EA,  B27022_001M,  B27022_001MA",B27022
Private Health Insurance by Sex by Enrollment Status for Young Adults Aged 19 to 25,"B27023_001EA,  B27023_001M,  B27023_001MA",B27023
Types of Computers in Household,"B28001_001EA,  B28001_001M,  B28001_001MA",B28001
Presence and Types of Internet Subscriptions in Household,"B28002_001EA,  B28002_001M,  B28002_001MA",B28002
Presence of a Computer and Type of Internet Subscription in Household,"B28003_001EA,  B28003_001M,  B28003_001MA",B28003
Household Income in the Last 12 Months (in 2022 Inflation-Adjusted Dollars) by Presence and Type of Internet Subscription in Household,"B28004_001EA,  B28004_001M,  B28004_001MA",B28004
Age by Presence of a Computer and Types of Internet Subscription in Household,"B28005_001EA,  B28005_001M,  B28005_001MA",B28005
Educational Attainment by Presence of a Computer and Types of Internet Subscription in Household,"B28006_001EA,  B28006_001M,  B28006_001MA",B28006
Labor Force Status by Presence of a Computer and Types of Internet Subscription in Household,"B28007_001EA,  B28007_001M,  B28007_001MA",B28007
Presence of a Computer and Type of Internet Subscription in Household,"B28008_001EA,  B28008_001M,  B28008_001MA",B28008
Presence of a Computer and Type of Internet Subscription in Household (White Alone),"B28009A_001EA,  B28009A_001M,  B28009A_001MA",B28009A
Presence of a Computer and Type of Internet Subscription in Household (Black or African American Alone),"B28009B_001EA,  B28009B_001M,  B28009B_001MA",B28009B
Presence of a Computer and Type of Internet Subscription in Household (American Indian and Alaska Native Alone),"B28009C_001EA,  B28009C_001M,  B28009C_001MA",B28009C
Presence of a Computer and Type of Internet Subscription in Household (Asian Alone),"B28009D_001EA,  B28009D_001M,  B28009D_001MA",B28009D
Presence of a Computer and Type of Internet Subscription in Household (Native Hawaiian and Other Pacific Islander Alone),"B28009E_001EA,  B28009E_001M,  B28009E_001MA",B28009E
Presence of a Computer and Type of Internet Subscription in Household (Some Other Race Alone),"B28009F_001EA,  B28009F_001M,  B28009F_001MA",B28009F
Presence of a Computer and Type of Internet Subscription in Household (Two or More Races),"B28009G_001EA,  B28009G_001M,  B28009G_001MA",B28009G
"Presence of a Computer and Type of Internet Subscription in Household (White Alone, Not Hispanic or Latino)","B28009H_001EA,  B28009H_001M,  B28009H_001MA",B28009H
Presence of a Computer and Type of Internet Subscription in Household (Hispanic or Latino),"B28009I_001EA,  B28009I_001M,  B28009I_001MA",B28009I
Computers in Household,"B28010_001EA,  B28010_001M,  B28010_001MA",B28010
Internet Subscriptions in Household,"B28011_001EA,  B28011_001M,  B28011_001MA",B28011
Age and Enrollment Status by Computer Ownership and Internet Subscription Status,"B28012_001EA,  B28012_001M,  B28012_001MA",B28012
"Citizen, Voting-Age Population by Age","B29001_001EA,  B29001_001M,  B29001_001MA",B29001
"Citizen, Voting-Age Population by Educational Attainment","B29002_001EA,  B29002_001M,  B29002_001MA",B29002
"Citizen, Voting-Age Population by Poverty Status","B29003_001EA,  B29003_001M,  B29003_001MA",B29003
"Median Household Income for Households With a Citizen, Voting-Age Householder (in 2022 Inflation-Adjusted Dollars)","B29004_001EA,  B29004_001M,  B29004_001MA",B29004
Unweighted Housing Unit Sample,B98001_001EA,B98001
Unweighted Group Quarters Population Sample,B98002_001EA,B98002
Unweighted Total Population Sample,B98003_001EA,B98003
Housing Unit Coverage Rate,B98011_001EA,B98011
Total Population Coverage Rate by Sex,B98012_001EA,B98012
Total Population Coverage Rate by Weighting Race and Hispanic or Latino Groups,B98013_001EA,B98013
Group Quarters Population Coverage Rate,B98014_001EA,B98014
Housing Unit Response and Nonresponse Rates With Reasons for Noninterviews,B98021_001EA,B98021
Group Quarters Population Response and Nonresponse Rates With Reasons for Noninterviews,B98022_001EA,B98022
Overall Person Characteristic Allocation Rate,B98031_001EA,B98031
Overall Housing Unit Characteristic Allocation Rate,B98032_001EA,B98032
Allocation of Sex,B99011_001EA,B99011
Allocation of Age,B99012_001EA,B99012
Allocation of Race,B99021_001EA,B99021
Allocation of Hispanic or Latino Origin,B99031_001EA,B99031
Allocation of Citizenship Status,B99051_001EA,B99051
Allocation of Year of Entry,B99052_001EA,B99052
Allocation of Year of Entry for Population Born Outside Puerto Rico,B99052PR_001EA,B99052PR
Allocation of Year of Naturalization,B99053_001EA,B99053
Allocation of Place of Birth,B99061_001EA,B99061
Allocation of Mobility Status for the Population 1 Year and Over,B99071_001EA,B99071
Allocation of Residence 1 Year Ago for the Population 1 Year and Over,B99072_001EA,B99072
Allocation of Means of Transportation to Work,B99080_001EA,B99080
Allocation of Place of Work,B99081_001EA,B99081
Allocation of Private Vehicle Occupancy,B99082_001EA,B99082
Allocation of Time of Departure to Go to Work,B99083_001EA,B99083
Allocation of Travel Time to Work,B99084_001EA,B99084
Allocation of Vehicles Available for Workers,B99085_001EA,B99085
Allocation of Means of Transportation to Work for Workplace Geography,B99086_001EA,B99086
Allocation of Time Arriving at Work From Home for Workplace Geography,B99087_001EA,B99087
Allocation of Travel Time to Work for Workplace Geography,B99088_001EA,B99088
Allocation of Vehicles Available for Workers for Workplace Geography,B99089_001EA,B99089
Allocation of Relationship,B99092_001EA,B99092
Allocation of Grandparents Living With Grandchildren Under 18 Years,B99102_001EA,B99102
Allocation of Grandparents Responsible for Grandchildren Under 18 Years,B99103_001EA,B99103
Allocation of Length of Time Grandparent Responsible for Own Grandchildren Under 18 Years for the Population 30 Years and Over,B99104_001EA,B99104
Allocation of Marital Status for the Population 15 Years and Over,B99121_001EA,B99121
Allocation of Divorced in the Past 12 Months for the Population 15 Years and Over,B99122_001EA,B99122
Allocation of Married in the Past 12 Months for the Population 15 Years and Over,B99123_001EA,B99123
Allocation of Widowed in the Past 12 Months for the Population 15 Years and Over,B99124_001EA,B99124
Allocation of Times Married for the Population 15 Years and Over,B99125_001EA,B99125
Allocation of Year Last Married for the Population 15 Years and Over,B99126_001EA,B99126
Allocation of Marital Status for Females 15 to 50 Years,B99131_001EA,B99131
Allocation of Fertility of Women 15 to 50 Years,B99132_001EA,B99132
Allocation of School Enrollment for the Population 3 Years and Over,B99141_001EA,B99141
Allocation of Grade Enrolled for the Population 3 Years and Over Enrolled in School,B99142_001EA,B99142
Allocation of Educational Attainment for the Population 25 Years and Over,B99151_001EA,B99151
Allocation of Field of Degree for the Population 25 Years and Over,B99152_001EA,B99152
Allocation of Language Status for the Population 5 Years and Over,B99161_001EA,B99161
Allocation of Language Spoken at Home for the Population 5 Years and Over,B99162_001EA,B99162
Allocation of Ability to Speak English for the Population 5 Years and Over,B99163_001EA,B99163
Allocation of Poverty Status in the Past 12 Months for Unrelated Individuals,B99171_001EA,B99171
Allocation of Poverty Status in the Past 12 Months for Families,B99172_001EA,B99172
Allocation of Disability Items for the Civilian Noninstitutionalized Population,B99181_001EA,B99181
Allocation of Hearing Difficulty for the Civilian Noninstitutionalized Population,B99182_001EA,B99182
Allocation of Vision Difficulty for the Civilian Noninstitutionalized Population,B99183_001EA,B99183
Allocation of Cognitive Difficulty for the Civilian Noninstitutionalized Population 5 Years and Over,B99184_001EA,B99184
Allocation of Ambulatory Difficulty for the Civilian Noninstitutionalized Population 5 Years and Over,B99185_001EA,B99185
Allocation of Self-Care Difficulty for the Civilian Noninstitutionalized Population 5 Years and Over,B99186_001EA,B99186
Age by Allocation of Independent Living Difficulty for the Civilian Noninstitutionalized Population 15 Years and Over,B99187_001EA,B99187
Allocation of Individuals' Income in the Past 12 Months for the Population 15 Years and Over - Percent of Income Allocated,B99191_001EA,B99191
Allocation of Household Income in the Past 12 Months - Percent of Income Allocated,B99192_001EA,B99192
Allocation of Family Income in the Past 12 Months -- Percent of Income Allocated,B99193_001EA,B99193
Allocation of Nonfamily Household Income in the Past 12 Months -- Percent of Income Allocated,B99194_001EA,B99194
Allocation of Earnings in the Past 12 Months for the Population 16 Years and Over - Percent of Earnings Allocated,B99201_001EA,B99201
Allocation of Veteran Status for the Population 18 Years and Over,B99211_001EA,B99211
Allocation of Period of Military Service for Civilian Veterans 18 Years and Over,B99212_001EA,B99212
Allocation of Food Stamps/SNAP Receipt,B99221_001EA,B99221
Allocation of Employment Status for the Population 16 Years and Over,B99231_001EA,B99231
Allocation of Work Status in the Past 12 Months for the Population 16 Years and Over,B99232_001EA,B99232
Allocation of Usual Hours Worked per Week in the Past 12 Months for the Population 16 Years and Over,B99233_001EA,B99233
Allocation of Weeks Worked in the Past 12 Months for the Population 16 Years and Over,B99234_001EA,B99234
Allocation of Industry for the Civilian Employed Population 16 Years and Over,B99241_001EA,B99241
Allocation of Occupation for the Civilian Employed Population 16 Years and Over,B99242_001EA,B99242
Allocation of Class of Worker for the Civilian Employed Population 16 Years and Over,B99243_001EA,B99243
"Allocation of Industry for the Full-Time, Year-Round Civilian Employed Population 16 Years and Over",B99244_001EA,B99244
"Allocation of Occupation for the Full-Time, Year-Round Civilian Employed Population 16 Years and Over",B99245_001EA,B99245
"Allocation of Class of Worker for the Full-Time, Year-Round Civilian Employed Population 16 Years and Over",B99246_001EA,B99246
Allocation of Kitchen Facilities,B992510_001EA,B992510
Allocation of House Heating Fuel,B992511_001EA,B992511
Allocation of Vehicles Available,B992512_001EA,B992512
Allocation of Telephone Service Available,B992513_001EA,B992513
Allocation of Meals Included in Rent,B992514_001EA,B992514
Allocation of Contract Rent,B992515_001EA,B992515
Allocation of Rent Asked,B992516_001EA,B992516
Allocation of Gross Rent,B992518_001EA,B992518
Allocation of Value,B992519_001EA,B992519
Allocation of Tenure,B99252_001EA,B99252
Allocation of Price Asked,B992520_001EA,B992520
Allocation of Mortgage Status,B992521_001EA,B992521
Allocation of Mortgage Status and Selected Monthly Owner Costs,B992522_001EA,B992522
Allocation of Selected Monthly Owner Costs for Owner-Occupied Housing Units,B992523_001EA,B992523
Allocation of Vacancy Status,B99253_001EA,B99253
Allocation of Rooms,B99254_001EA,B99254
Allocation of Units in Structure,B99255_001EA,B99255
Allocation of Year Structure Built,B99256_001EA,B99256
Allocation of Year Householder Moved Into Unit,B99257_001EA,B99257
Allocation of Bedrooms,B99258_001EA,B99258
Allocation of Plumbing Facilities,B99259_001EA,B99259
Allocation of Health Insurance Coverage,B992701_001EA,B992701
Allocation of Private Health Insurance,B992702_001EA,B992702
Allocation of Public Health Insurance,B992703_001EA,B992703
Allocation of Employer-Based Health Insurance,B992704_001EA,B992704
Allocation of Direct-Purchase Health Insurance,B992705_001EA,B992705
Allocation of Medicare Coverage,B992706_001EA,B992706
Allocation of Medicaid/Means-Tested Public Coverage,B992707_001EA,B992707
Allocation of TRICARE/Military Health Coverage,B992708_001EA,B992708
Allocation of VA Health Care,B992709_001EA,B992709
Allocation of Household Internet Access,B99281_001EA,B99281
Allocation of Household Computer Type,B99282_001EA,B99282
Allocation of Household Internet Subscription Type,B99283_001EA,B99283
Detailed Race,"C02003_001EA,  C02003_001M,  C02003_001MA",C02003
Asian Alone by Selected Groups,"C02015_001EA,  C02015_001M,  C02015_001MA",C02015
Native Hawaiian and Other Pacific Islander Alone by Selected Groups,"C02016_001EA,  C02016_001M,  C02016_001MA",C02016
Sex by Educational Attainment for the Population 25 Years and Over (White Alone),"C15002A_001EA,  C15002A_001M,  C15002A_001MA",C15002A
Sex by Educational Attainment for the Population 25 Years and Over (Black or African American Alone),"C15002B_001EA,  C15002B_001M,  C15002B_001MA",C15002B
Sex by Educational Attainment for the Population 25 Years and Over (American Indian and Alaska Native Alone),"C15002C_001EA,  C15002C_001M,  C15002C_001MA",C15002C
Sex by Educational Attainment for the Population 25 Years and Over (Asian Alone),"C15002D_001EA,  C15002D_001M,  C15002D_001MA",C15002D
